Country,CO2,Population,Happiness,Code,Year,Life Expectancy,SPM,Percentage of all deaths caused by air pollution
Greenland,30246493.0,56026.0,5146832099969.799,GRL,2019.0,72.2,7.03,1.51
Grenada,7332340.0,123663.0,5146832099969.799,GRD,2019.0,74.9,0.63,6.48
Guatemala,404420205.0,17362718.0,77604632171.0,GTM,2019.0,73.1,1.0,10.38
Guinea,77269714.0,13205153.0,5146832099969.799,GIN,2019.0,59.7,0.7,16.02
Guinea-Bissau,9228086.0,2015828.0,5146832099969.799,GNB,2019.0,60.9,1.1,16.43
Guyana,89660737.0,797202.0,5471256595.0,GUY,2019.0,69.1,3.74,7.05
Haiti,69042835.0,11306801.0,14508218017.0,HTI,2019.0,64.3,1.02,15.83
Honduras,229623078.0,10121763.0,23662231634.0,HND,2019.0,72.9,0.46,11.51
Hungary,4870991390.0,9750573.0,5146832099969.799,HUN,2019.0,76.5,1.47,6.55
Iceland,141492956.0,366669.0,21718075725.0,ISL,2019.0,82.4,1.76,0.9
India,48557863281.0,1396387127.0,2660000000000.0,IND,2019.0,70.9,2.08,18.1
Indonesia,12430271016.0,271857970.0,5146832099969.799,IDN,2019.0,70.5,0.45,10.37
Iran,16580287145.0,87290193.0,5146832099969.799,IRN,2019.0,76.1,1.07,11.02
Iraq,3983988823.0,42556984.0,5146832099969.799,IRQ,2019.0,71.6,1.15,15.0
Ireland,2112667064.0,4946119.0,426000000000.0,IRL,2019.0,82.3,1.35,1.68
Israel,2221239489.0,8757489.0,5146832099969.799,ISR,2019.0,82.8,1.14,5.12
Italy,23645999964.0,59500579.0,1890000000000.0,ITA,2019.0,83.6,0.67,4.27
Jamaica,424398054.0,2820436.0,13812425037.0,JAM,2019.0,71.8,0.45,6.02
Japan,62304608199.0,125244761.0,5060000000000.0,JPN,2019.0,84.4,1.77,3.06
Jordan,614829331.0,10928721.0,5146832099969.799,JOR,2019.0,76.0,0.81,9.81
Kazakhstan,12300616894.0,18979243.0,5146832099969.799,KAZ,2019.0,71.6,3.06,8.67
Kenya,410113224.0,51985780.0,101000000000.0,KEN,2019.0,62.9,1.07,10.93
Kiribati,1913895.0,126463.0,5146832099969.799,KIR,2019.0,67.1,2.62,12.89
Kuwait,2626874527.0,4360444.0,5146832099969.799,KWT,2019.0,79.7,1.35,14.89
Kyrgyzstan,181734180.0,6424874.0,5146832099969.799,KGZ,2019.0,71.2,1.73,12.57
Laos,36077735.0,7319399.0,5146832099969.799,LAO,2019.0,68.1,0.96,18.42
Latvia,618492628.0,1897052.0,5146832099969.799,LVA,2019.0,75.5,1.43,4.24
Lebanon,634652476.0,5662923.0,5146832099969.799,LBN,2019.0,79.2,0.52,9.84
Lesotho,56424722.0,2254100.0,1875227642.0,LSO,2019.0,54.2,2.26,9.1
Liberia,47905144.0,5087584.0,5146832099969.799,LBR,2019.0,61.1,0.87,13.62
Libya,1951955718.0,6653942.0,5146832099969.799,LBY,2019.0,72.5,1.09,11.03
Lithuania,1015509983.0,2820267.0,5146832099969.799,LTU,2019.0,76.2,2.22,3.28
Luxembourg,725159607.0,630399.0,73353132794.0,LUX,2019.0,82.1,1.67,2.46
Madagascar,83638600.0,28225177.0,13056079982.0,MDG,2019.0,65.9,0.93,16.66
Malawi,43051513.0,19377061.0,12182348213.0,MWI,2019.0,64.1,1.03,13.11
Malaysia,5181419717.0,33199993.0,337000000000.0,MYS,2019.0,75.8,1.02,6.12
Maldives,19836857.0,514438.0,5146832099969.799,MDV,2019.0,80.1,1.34,5.56
Mali,33149434.0,21224040.0,5146832099969.799,MLI,2019.0,59.7,0.47,14.18
Malta,97461275.0,515357.0,5146832099969.799,MLT,2019.0,83.2,0.64,4.17
Marshall Islands,2266040.0,43413.0,5146832099969.799,MHL,2019.0,64.7,2.81,8.19
Mauritania,63673149.0,4498604.0,5146832099969.799,MRT,2019.0,65.7,0.74,13.31
Mauritius,102339737.0,1297828.0,5146832099969.799,MUS,2019.0,75.1,1.06,5.58
Mexico,18971469004.0,125998302.0,1070000000000.0,MEX,2019.0,74.2,1.06,6.65
Micronesia (country),3401355.0,33501070.952991452,5146832099969.799,FSM,2019.0,71.1,2.47,8.36
Moldova,175514617.0,3084847.0,5146832099969.799,MDA,2019.0,70.9,1.34,5.72
Mongolia,536837014.0,3294335.0,5146832099969.799,MNG,2019.0,71.8,2.38,13.07
Montenegro,109622459.0,629048.0,5146832099969.799,MNE,2019.0,77.0,1.71,10.33
Morocco,1589225046.0,36688772.0,115000000000.0,MAR,2019.0,74.3,1.12,12.38
Mozambique,163105098.0,31178239.0,5146832099969.799,MOZ,2019.0,61.2,0.92,12.58
Myanmar,484208427.0,53423198.0,5146832099969.799,MMR,2019.0,66.6,0.46,18.16
Namibia,63941325.0,2489098.0,5146832099969.799,NAM,2019.0,63.1,1.37,9.47
Nauru,4678403.0,12315.0,5146832099969.799,NRU,2019.0,63.5,3.25,2.4
Nepal,115699603.0,29348627.0,33657175561.0,NPL,2019.0,69.6,1.82,23.13
Netherlands,11308449554.0,17434557.0,914000000000.0,NLD,2019.0,82.0,1.28,3.13
New Zealand,1779162164.0,5061133.0,5146832099969.799,NZL,2019.0,82.6,1.49,0.97
Nicaragua,160721077.0,6755895.0,12621505383.0,NIC,2019.0,74.1,1.21,9.97
Niger,44106013.0,24333639.0,13741378450.0,NER,2019.0,62.9,0.48,17.7
Nigeria,3372735176.0,208327405.0,432000000000.0,NGA,2019.0,52.9,0.5,12.56
Niue,271579.0,1942.0,5146832099969.799,NIU,2019.0,70.7,1.03,2.81
